"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
"1",0,16,96,240,192,16,0,0,0,112,255,96,96,160,0,0,0,128,255,32,0,176,32,0,0,80,255,48,0,80,112,0,0,112,208,48,0,128,112,0,0,64,192,0,16,208,80,0,0,0,224,144,240,144,0,0,0,0,96,224,112,16,0,0
"2",0,0,160,255,96,0,0,0,0,112,255,128,255,80,0,0,0,176,255,0,96,224,48,0,0,192,192,0,0,176,176,0,0,192,192,0,0,128,192,0,0,112,240,16,0,208,176,0,0,0,255,128,160,240,48,0,0,0,160,255,240,48,0,0
"3",0,0,240,32,224,208,32,0,0,0,255,240,192,208,128,0,0,32,255,192,16,96,160,0,0,112,240,48,0,80,128,0,0,80,192,0,0,128,128,0,0,80,192,0,112,240,80,0,0,80,255,208,255,96,0,0,0,0,160,192,80,0,0,0
"4",0,16,160,240,128,0,0,0,0,96,255,112,176,128,0,0,0,112,255,48,16,208,16,0,0,112,208,0,0,160,96,0,0,128,192,0,0,224,64,0,0,48,255,0,96,240,32,0,0,0,240,144,255,64,0,0,0,0,144,240,128,0,0,0
"5",0,0,32,208,144,0,0,0,0,0,224,176,192,112,0,0,0,96,255,16,0,255,0,0,0,80,192,0,0,176,80,0,0,128,208,0,0,128,112,0,0,16,255,0,0,144,128,0,0,0,208,48,96,255,16,0,0,0,48,255,224,64,0,0
"6",0,0,128,255,128,0,0,0,0,16,255,144,160,144,0,0,0,64,240,0,0,160,16,0,0,96,192,0,0,96,96,0,0,80,192,0,0,64,128,0,0,64,224,0,0,112,128,0,0,16,255,144,128,224,64,0,0,0,96,240,224,80,0,0
"7",0,0,112,224,96,0,0,0,0,80,255,144,208,48,0,0,0,128,192,0,80,192,0,0,0,64,192,0,0,176,96,0,0,96,192,0,0,144,112,0,0,16,240,0,16,240,80,0,0,0,208,112,208,176,0,0,0,0,64,240,176,0,0,0
"8",0,0,160,128,176,32,0,0,0,0,255,240,128,208,32,0,0,64,255,64,0,144,112,0,0,112,224,0,0,48,128,0,0,128,192,0,0,112,128,0,0,96,96,0,48,240,64,0,0,64,224,160,255,112,0,0,0,0,160,224,80,0,0,0
"9",0,0,32,192,176,32,0,0,0,16,240,192,144,208,0,0,0,96,208,16,0,224,32,0,0,96,192,0,0,128,128,0,0,128,192,0,0,112,128,0,0,80,240,0,0,112,144,0,0,0,208,144,128,240,64,0,0,0,48,208,255,128,0,0
"10",0,0,0,128,192,32,0,0,0,0,144,240,128,192,0,0,0,80,255,48,0,192,32,0,0,80,208,0,0,80,112,0,0,128,160,0,0,64,128,0,0,0,255,0,0,48,192,0,0,0,176,144,64,224,96,0,0,0,0,160,208,144,16,0
